I_D	TSEVENT_ID	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	DOUBTFUL	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DISTANCE_FROM_SOURCE	ARR_DAY	ARR_HOUR	ARR_MIN	TRAVEL_TIME_HOURS	TRAVEL_TIME_MINUTES	WATER_HT	HORIZONTAL_INUNDATION	TYPE_MEASUREMENT_ID	PERIOD	FIRST_MOTION	DEATHS	DEATHS_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION
15	38	365	7	21				?	TURKEY		ALEXANDRIA TROAS	40.154	26.407	50	647								1			700	3								 
19370	38	365	7	21					SPAIN		ADRA	36.7333	-3.0167	50	2346								1												 
16148	38	365	7	21					EGYPT		ALEXANDRIA	31.2	29.919	50	771								1				1				1				1 
10857	38	365	7	21					ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38.18	15.56	50	752								1												 
19371	38	365	7	21					CROATIA		EPIDAURUS	42.5811	18.2181	50	939								1												 
18	38	365	7	21					GREECE		METHONI, PELOPONNESUS	36.818	21.703	50	234								1								1				 
19369	38	365	7	21					PORTUGAL		CAPE SOUTH VICENTE	37.025	-8.9944	73	2874								1												 
16215	3475	368							TURKEY		BITHYNIA			50									1												 
10869	2315	407							ITALY		ISCHIA ISLAND	40.733	13.95	50	1265								1												 
19	39	416							INDONESIA	BANTEN	BATUWARA MOUNTAIN, JAVA	-6.342	105.94	60	63								1												 
17552	39	416							INDIA	TAMIL NADU	POOMPUHAR	13.1144	80.2086	60	3511								1								3				 
25336	39	416							INDONESIA	WEST JAVA	GEDE MOUNTAIN, JAVA	-6.78	106.8	60	170								1												 
20	39	416							INDONESIA	LAMPUNG	MOUNT RAJABASA, SUMATRA I.	-5.8368	105.6513	60	39								1				3								 
10870	41	447	11	8					TURKEY		ISTANBUL (CONSTANTINOPLE)	41.019	28.965	50	41								1												 
27	43	543							TURKEY		GULF OF EDREMIT	39.583333	26.95	50	108								1												 
25	43	543							BULGARIA		DIONISIOUPOLIS [BALCHIK]	43.4167	28.1667	40	348								1				3				3				 
24	43	543							BULGARIA		ODESSOS [VARNA]	43.2167	27.9167	40	325								1				3				3				 
26	43	543							CYPRUS		APHRODISIO	35.4041667	33.7416667	50	754								1				3				3				 
31	46	551	7	7					GREECE		MALIACUS GULF			50									1												 
10871	47	551	7	9					TURKEY		LEVANTIAN SEA			50									1												 
30	46	551							GREECE		SKARPHIA, MALIAKOS GULF	36.83	27.17	50	463								1												 
29	46	551							GREECE		TARPHE, MALIAKOS GULF	36.83	27.17	50	463								1												 
28	46	551							GREECE		ECHINOS, MALIAKOS GULF	36.83	27.17	50	463								1												 
32	48	554							TURKEY		GULF OF ANTALYA			50									1												 
33	48	554							GREECE		ISLAND OF KOS	36.8933	27.2889	50	48								1												 
10872	48	554							GREECE		SOUTHERN SPORADES			50									1												 
35	53	684	11	29					JAPAN	KOCHI	TOSA	33.51	133.44	85	124								1												 
34	53	684	11	29					JAPAN	MIE	ATASHIKA	33.917	136.15	85	255						3		1												 
36	54	701	5	12					JAPAN	KYOTO	TANGO, KYOTO	35.87	135.08	85	35								1												 
37	55	704	8	2					JAPAN		KUMAMONADA			85									1												 
38	56	740	10	26					TURKEY		THRACIAN COAST	41	29	50	42								1												 
10873	56	740	10	26					TURKEY		IZMIT	40.77	29.94	50	54								1												 
39	57	744	6	30					JAPAN	KUMAMOTO	KUMAMOTO	32.83	130.7	85	51								1			1520	4				3			470	3 
40	58	745	6	9					JAPAN	OSAKA	OSAKA BAY	34.5	135.33	85	11								1				3								 
10874	59	746	1	18					LEBANON					50									1												 
10875	59	746	1	18					EGYPT		COAST			50									1												 
41	61	766	7	20					JAPAN	KAGOSHIMA	OSUMI ISLAND	30	130	85	190								1				3								 
10876	62	792	4	30					ITALY		GULF OF VENICE	45.5	12.5	50	117								1												 
28199	63	799	9	18					JAPAN	IBARAKI	KUJI	40.1878	141.7689	85									1												 
28198	63	799	9	18					JAPAN	IBARAKI	NAKAMINATO	36.333	140.59	85									1												 
42	63	799	9	18					JAPAN	IBARAKI	HITACHI	36.58	140.67	85							2		1												 
28200	63	799	9	18					JAPAN	IBARAKI	KASHIMA	35.933	140.69	85									1												 
43	66	818	8						JAPAN	CHIBA	BOSO PENINSULA	34.9	139.85	85	60								1				3								 
16348	67	842	10	24					FRANCE		NORTHERN FRANCE			73									1												 
16349	67	842	10	24					UK		CHANNEL ISLANDS, ENGLAND	49.333	-2.317	73	23								1												 
44	69	850	11	27					JAPAN	AKITA	KISAGATA	39.2167	139.9	85	24							4000	1								2				 
10213	70	855	6						JAPAN	KAGOSHIMA	KUMANO	30.68	130.967	85									1												 
10877	71	859							TURKEY		SAMANDAGI	36.08	36.25	50	0								1												 
10214	72	863	7	10					JAPAN	NIIGATA	NAOETSUKO	37.1	138	85	0								1												 
48	74	869	7	13					JAPAN	IWATE	RIKUCHU	39.74	142	85	208								1												 
47	74	869	7	13					JAPAN	MIYAGI	SHIOGAMA	38.3	141	85	245								1								1				 
45	74	869	7	13					JAPAN	FUKUSHIMA	IWAKI	37.07	140.9	85	300								1												 
19400	74	869	7	13					JAPAN	WAKAYAMA	IWASHIRO	33.783	135.283	85	927								1												 
46	74	869	7	13					JAPAN	MIYAGI	SENDAI	38.267	141.033	85	243								1			1000	3				3				3 
16082	75	881	4	8					EGYPT		ALEXANDRIA	31.2	29.919	50									1												 
10858	75	881	4	8					ISRAEL		AKKO (ACRE)	32.924	35.073	50									1												 
49	76	887	8	2					JAPAN	NIIGATA	S. COAST NIIGATA PREFECTURE	37.92	139.05	85	96						4		1			2000	4								 
51	77	887	8	26					JAPAN	OSAKA	OSAKA BAY	34.5	135.33	85	167								1				2				2				 
50	77	887	8	26					JAPAN	KANAGAWA	HIYUGA	35.3	139.65	85	475								1								2				 
17553	5283	900							INDIA	TAMIL NADU	NAGAPATTINUM, TAMIL NADU	10.767	79.833	60	48								1			200	3				3				2 
10224	79	922							JAPAN	MIE	KUMAMONADA	33.8	136.7	85	0						2		1												 
10878	3429	963	7	22					ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38	15	50	0								1				4								 
10879	81	975	10	26					TURKEY		MARMARA SEA, STRAIT OF BOSPORUS	41.04	28.98	50	0								1												 
19372	3562	1008	4	11					IRAN		SIRAF	27.66666	52.3425	30	1								1				3				1				 
52	83	1026	6	16					JAPAN	SHIMANE	IWAMI COAST	34.88	132.43	85	58						10		1			1000	3								 
19401	83	1026	6	16					JAPAN	YAMAGUCHI	SUSA	34.6167	131.6	85	27						10		1												 
25678	84	1033	12	2					ISRAEL		CAESAREA PHILIPPI	32.483	34.883	50	59								1												 
10885	84	1033	12	5					ISRAEL		GAZA	31.52	34.43	50	173								1												 
10887	84	1033	12	5					ISRAEL		AKKO (ACRE)	32.924	35.073	50	11								1				2								 
10886	84	1033	12	5					ISRAEL		ASHKELON	31.667	34.55	50	154								1												 
25679	84	1033	12	5					LEBANON		LEBANON COAST	33.8	35.8	50	116								1												 
10889	87	1039	2	2					TURKEY		ISTANBUL (CONSTANTINOPLE)	41.019	28.965	50	324								1												 
10890	3102	1050							GREECE		ISLAND OF THIRA			50									1												 
10891	3103	1065	9	23					TURKEY		NICOLIDEA			50									1												 
10893	3103	1065	9	23					TURKEY		ISTANBUL (CONSTANTINOPLE)	41.019	28.965	50									1												 
10892	3103	1065	9	23					TURKEY		PRINCES ISLANDS, MARMARA SEA	40.87	29.12	50									1												 
10895	90	1068	3	18					ISRAEL		YAVNE	31.817	34.717	50	259								1				3				3				 
10894	90	1068	3	18					ISRAEL		ASHDOD	31.817	34.65	50	259								1				3				3				 
56	90	1068	3	18					ISRAEL		HOLON	32.011	34.772	50	280								1				3				3				 
19374	91	1076	10	31					CHINA		CHAOANG, KWANGTUNG			84									1				1				1				1 
10225	93	1088	6	10					JAPAN	IWATE	SANRIKU COAST	39.33	142	85	156						2		1												 
60	96	1096	12	17					JAPAN	MIE	TSU	34.717	136.517	85	120						5		1												 
58	96	1096	12	17					JAPAN	MIE	MIE	34.69	136.54	85	117								1												 
16504	96	1096	12	17					JAPAN		SURUGA BAY	34.7	138.2	85	101								1								3	400	3		 
59	96	1096	12	17					JAPAN	SHIZUOKA	SHIZUOKA	34.98	138.4	85	137								1												 
57	96	1096	12	17					JAPAN	YAMAGATA	ATSUMI	34.62	137.11	85	78						7		1												 
10374	2992	1099	2	22					JAPAN	WAKAYAMA	NANKAIDO COAST	33	135.5	85	0								1												 
61	97	1099	11	11					UK		SAINT MICHAEL'S MOUNT, ENGLAND	50.116	-5.483	73	0								1												 
10896	98	1106	3						ITALY		MALAMOCCO	45.373	12.344	50	15								1												 
25831	4201	1112	6	20					ITALY	CAMPANIA	NAPLES	40.83	14.25	50	2								1												 
10898	2852	1169	2	4	7				ITALY	SICILY	MESSINA, SICILY	38.18	15.562	50	108								1												 
10899	3107	1169	2	11					ITALY		CALABRIAN ARC			50									1												 
10900	3108	1172							ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38	15	50	0								1				3								 
15703	100	1202	5	20					CYPRUS		PAPHOS	34.75	32.42	50	358								1								1				 
62	100	1202	5	20					CYPRUS		LIMASSOL	34.67	33.03	50	303								1												 
16090	100	1202	5	20					EGYPT		COAST	31.2	29.919	50	626								1												 
63	101	1222	5						CYPRUS		LIMASSOL	34.67	33.03	50	19								1												 
64	101	1222	5						CYPRUS		PAPHOS	34.75	32.42	50	60								1												 
25837	3478	1231	3	11					TURKEY		ISTANBUL (CONSTANTINOPLE)	41.019	28.965	50	31								1												 
19470	104	1241	5	22					JAPAN	KANAGAWA	YUIGAHAMA	35.283	139.567	85	18								1								1				 
65	104	1241	5	22					JAPAN	KANAGAWA	KAMAKURA	35.309	139.55	85	18								1												 
10376	106	1257	10	9					JAPAN	KANAGAWA	SAGAMI BAY	35.2	139.5	85	0								1												 
10375	105	1257	10	9					JAPAN	IWATE	SANRIKU COAST	39	141.7	85	199								1												 
28201	106	1257	10	9					JAPAN	IWATE	NODA	40.11	141.82	85	583								1												 
28202	106	1257	10	9					JAPAN	IWATE	KUJI	40.195	141.79	85	591								1												 
10901	3109	1265	8	11					TURKEY		ISLAND OF PROCONNESUS (MARMARA IS)	40.633	27.617	50	20								1												 
10902	108	1273	3						ALBANIA		DURRES	41.3231	19.4414	50	22								1												 
10377	110	1293	5	27					JAPAN	KANAGAWA	KAMAKURA	35.309	139.55	85	18								1												 
16094	111	1303	8	8					EGYPT		EGYPT COAST			50									1												 
10905	111	1303	8	8					SYRIA		SYRIA COAST			50									1												 
10904	111	1303	8	8					ISRAEL		AKKO (ACRE)	32.924	35.073	50	850								1				2								 
10903	111	1303	8	8					GREECE		CANDIA, CRETE	35.333	25.133	50	168								1				3				3				 
10909	111	1303	8	8					GREECE		ISLAND OF RHODES	36.167	28	50	302								1												 
66	111	1303	8	8					EGYPT		ALEXANDRIA	31.2	29.919	50	481								1			70	2				1				 
15732	111	1303	8	8					GREECE		PELOPENNESUS			50									1												 
10906	111	1303	8	8					LEBANON		LEBANON COAST			50									1												 
67	111	1303	8	8					GREECE		HERAKLION (IRAKLION), CRETE	35.339	25.18	50	167								1								1				 
10910	3111	1321							ITALY	VENETO	VENICE	45.439	12.327	50	5								1												 
10911	3112	1329	6	28					ITALY	REGIONE SICILIANA	ISLAND OF SICILY	38	15	50	30								1												 
10912	115	1332	2	12					TURKEY		ISTANBUL (CONSTANTINOPLE)	41.019	28.965	50	14								1												 
69	116	1341	10	31					JAPAN	AOMORI	JUSAN-MINATO	41.033	140.333	85	70								1			2600	4								 
10914	3113	1343	11	25					ITALY	CAMPANIA	BAY OF NAPLES	40.83	14.25	50									1												 
10915	3114	1344	2	12					TURKEY		MARMARA SEA, STRAIT OF BOSPORUS	41.03	29	50	31								1				3				2				2 
70	3114	1344	10	14					TURKEY		ISTANBUL (CONSTANTINOPLE)	41.03	29	50	31								1				3				2				2 
10916	3115	1348	1	25	23				ITALY		GULF OF VENICE	45.5	12.5	50	158								1												 
71	122	1360	11	2					JAPAN	OSAKA	OSAKA BAY	34.667	135.433	85	158								1				3								 
19402	122	1360	11	22					JAPAN		OWASE	34.083	136.2	85	76								1				3								 
28203	122	1360	11	22					JAPAN		WAKAYAMA	34.2	135.2	85	128								1												 
74	124	1361	8	3					JAPAN	OSAKA	NANIWA, OSAKA	34.65	135.5	85	189								1			200	3				2				 
73	124	1361	8	3					JAPAN	OSAKA	NAMBAURA, OSAKA	34.7	135.5	85	195								1			600	3								 
72	124	1361	8	3					JAPAN	TOKUSHIMA	AWA	34.06	134.6	85	124								1			60	2								 
19471	124	1361	8	3					JAPAN	OSAKA	SETTSU	34.7782	135.5951	85	205								1												 
76	124	1361	8	3					JAPAN	TOKUSHIMA	YUKI PORT, TOKUSHIMA	33.767	134.6	85	93								1			200	3				4			1700	4 
75	124	1361	8	3					JAPAN	TOKUSHIMA	NARUTO, TOKUSHIMA	34.183	134.617	85	136								1												 
10917	3116	1365	1	2					ALGERIA		ALGIERS	36.763	3.051	50	6								1				1								 
77	126	1389	3	20					GREECE		CHIOS	38.368	26.136	50	15								1												 
10918	3117	1402	6						GREECE		GULF OF CORINTH	38.35	22.25	50	30								1												 
10919	127	1403	11	16							SYRIA - PALESTINE			50									1												 
10378	128	1403	12						JAPAN	KANAGAWA	KAMAKURA	35.31	139.54	85	331								1												 
28204	128	1403	12						JAPAN	WAKAYAMA	SOUTH COAST OF KII PENINSULA	33.5	135.8	85	69								1												 
25335	130	1407	8	23					NORTH KOREA		HAEJU	38.0406	125.7147	84	5								1												 
28205	131	1408	1	21					JAPAN	WAKAYAMA	SOUTH COAST OF KII PENINSULA	33.5	135.8	85	107								1												 
10379	131	1408	1	21					JAPAN	KANAGAWA	KAMAKURA	35.31	139.54	85	294								1												 
15731	3565	1408	12	20					SYRIA		LATAKIA	35.517	35.783	50	81								1												 
78	132	1420	9	6					JAPAN	OSAKA	IBARAKI	34.81	135.57	85									1												 
10380	133	1433	11	7					JAPAN	KANTO	TONE RIVER	35.75	140.8	85	151								1												 
25333	135	1434	8	6					SOUTH KOREA		INCHON	37.4536	126.7317	84	65								1								1				 
79	136	1448	9	19					JAPAN	TOYAMA	TOYAMA BAY-NIIGATA	36.7	137.23	85	124								1												 
10920	3118	1456	12	4	20				ITALY	CAMPANIA	BAY OF NAPLES	40.83	14.25	50	64								1												 
80	137	1481	5	3					GREECE		ISLAND OF RHODES	36.2	28	50	22						3		1				3				3				 
19375	5418	1481	12	18					GREECE		ISLAND OF RHODES	36.2	28	50	22								1												 
10921	3119	1494	7	1					GREECE		HERACLION [CANDIA], ISLAND OF CRETE	35.333	25.133	50	38								1								1				 
19403	142	1495	9	12					JAPAN	KANAGAWA	YUIGAHAMA	35.283	139.567	85	21								1			200	3								 
82	142	1495	9	12					JAPAN	KANAGAWA	KAMAKURA	35.309	139.55	85	24						5		1												 
19407	144	1498	7	9					JAPAN		KII PENINSULA			85									1												 
19405	144	1498	7	9					JAPAN	MIE	ISE	34.48	136.71	85	91								1												 
19406	144	1498	7	9					JAPAN	KANAGAWA	KAMAKURA	35.309	139.55	85	197								1												 
32784	144	1498	7	9				?	CHINA		SHANGHAI	31	121.5	84	1561								1												 
6681	145	1498	8	2					VENEZUELA		PEDERNALES	9.967	-62.267	74	8								1				3				3				3 
19404	146	1498	9	20					JAPAN	SHIZUOKA	NISHINA COUNTY	34.7667	138.7667	85	105							2000	1												 
84	146	1498	9	20					JAPAN	TOKYO	YAENE, HACHIJO ISLAND	33.1	139.767	85	184								1			1	1								 
85	146	1498	9	20					JAPAN	MIE	OMINATO (ISE)	34.517	136.75	85	137						10		1			5000	4				4			1000	3 
10409	2993	1498	9	20					JAPAN	WAKAYAMA	MINATO	34.0903	135.09	85	66								1								1				 
7062	146	1498	9	20					JAPAN	KANAGAWA	KAMAKURA	35.309	139.55	85	197								1			200	3								 
86	146	1498	9	20					JAPAN	SHIZUOKA	YAIZU	34.867	138.333	85	99								1			26000	4								 
87	146	1498	9	20					JAPAN	SHIZUOKA	LAKE HAMANA	34.683	137.6	85	89								1												 
88	147	1500							USA	HI	KALAELOA, MOLOKAI, HI	21.05	-156.85	80									1				3								 
10922	149	1508	5	29					GREECE		ISLAND OF CRETE			50									1												 
16352	151	1509	6	17					TAIWAN		CHIATUNG	24.33	120.567	84	803								1												 
16351	151	1509	6	17					CHINA		WUSONG	31.3683	121.4928	84	15								1												 
16350	151	1509	6	17					CHINA		NANXIANG	31.2947	121.2983	84	30								1												 
89	152	1509	9	14					TURKEY		ISTANBUL (CONSTANTINOPLE)	41.019	28.965	50	77								1												 
90	154	1510	9	21					JAPAN	OSAKA	NANIWA (OSAKA)	34.7	135.5	85	14								1												 
10410	156	1510	10	10				?	JAPAN	SHIZUOKA	TOTOMI-NADA	34.6	138.2	85	56								1												 
10924	157	1511	3	26					ITALY		GULF OF VENICE	45.5	12.5	50	106								1												 
26403	157	1511	3	26					ITALY		TRIESTE	45.65	13.77	50	66								1												 
19408	158	1512	10					?	JAPAN	TOKUSHIMA	SHIKOKU ISLAND	34.067	134.567	85									1			3700	4								 
25522	159	1519	9	24					SOUTH KOREA		CHUNGCHONG PROVINCE	36.3	126.5	84	45								1												 
91	160	1520	4	4					JAPAN	WAKAYAMA	SOUTH COAST OF KII PENINSULA	33.5	135.8	85	48								1								1				2 
92	163	1530	9	1	14	30			VENEZUELA		CUMANA	10.483	-64.2	74	26						6		1								1				 
93	163	1530	9	1	14	30			VENEZUELA		ISLA CUBAGUA	10.817	-64.183	74	16						6		1												 
94	163	1530	9	1	14	30			VENEZUELA		PARIA	10.627	-62.167	74	211						7.3		1												 
96	165	1531	1	26					PORTUGAL		LISBON	38.68333	-9.31666	73	19								1								1				 
15740	3575	1531	1						CHINA		GUICHI, ANHUI PROVINCE	30.658	117.483	84	5								7												 
10925	166	1534							ISRAEL		PALESTINE			50									1												 
28178	167	1537							MEXICO		COAST OF MEXICO			88									1												 
10926	3120	1538	9	26					ITALY		POZZUOLI			50									1												 
97	168	1539	11	24					HONDURAS		CABO DE HIGUERAS	16.017	-86.033	74	264								1												 
7642	169	1541	12	25					VENEZUELA		NUEVA CADIZ	10.817	-64.183	74	3								1								2				 
18940	5404	1542	12	10					ITALY	SICILY	AUGUSTA	37.2167	15.2167	50	18								1												 
7643	170	1543							VENEZUELA		PUNTA DE ARAYA	10.633	-64.3	74	23								1								1				 
99	170	1543							VENEZUELA		CUMANA	10.483	-64.2	74	26								1								1				 
28206	171	1545	2	7					JAPAN		IZU PENINSULA, HONSHU	34.8	139	85	0								1												 
10927	173	1546	1	14					ISRAEL		GAZA - JAFFA	31.5	34.467	50	112								1				3								 
25328	174	1556	10	21					SOUTH KOREA		ANSAN,  CHUNGCHONG	36.8741	126.2116	84	23								1												 
25329	174	1556	10	21					SOUTH KOREA		ISAN,  CHUNGCHONG	36.8797	126.6169	84	56								1												 
19454	176	1562	7	25					JAPAN		YATSUSHIRO	32.517	130.567	85	4								1												 
19455	176	1562	7	25					JAPAN		HIGO	32.5	130.6	85	0								1												 
10928	3121	1562	10	20					ITALY		REGGIO DI CALABRIA	38.1	15.65	50	267								1												 
100	178	1562	10	28	10				CHILE	CONCEPCION	OLD CONCEPCION	-36.733	-72.983	89	223								1				3				3				 
10929	3122	1564	7	20					FRANCE		VALLEY OF THE RIVER LA VESUBIE			50		23							1												 
101	179	1570	2	8	13				CHILE	CONCEPCION	OLD CONCEPCION	-36.733	-72.983	89	2								1		F	2000	4				3				 
10411	181	1571	5	20				?	JAPAN	WAKAYAMA	TAKADA	37.12	138.24	85									1												 
102	182	1571	11	1					NETHERLANDS		HOLLAND			73									1												 
31657	185	1575	12	16	18	30			CHILE	VALDIVIA	LAKE RINIUE	-39.8	-72.4	89	68								7			1200	4								 
103	185	1575	12	16	18	30			CHILE	CONCEPCION	OLD CONCEPCION	-36.733	-72.983	89	342								1												 
104	185	1575	12	16	18	30			CHILE	VALDIVIA	VALDIVIA	-39.8	-73.233	89	3								1			100	2				2				2 
16353	186	1580	1						NORTH KOREA		KOGEN	40.025	127.956	84	5								1												 
105	187	1580	4	6					UK		DOVER, UNITED KINGDOM	51.133	1.316	73	13								7												 
15647	187	1580	4	6					FRANCE		BOULOGNE, FRANCE	50.725	1.614	73	39								7												 
106	187	1580	4	6					UK		SANDWICH, UNITED KINGDOM	51.283	1.333	73	29								7												 
15644	187	1580	4	6					FRANCE		CALAIS, FRANCE	50.957	1.852	73	39								7												 
16218	3681	1582	1	22	16	30			PERU		CAMANA	-16.623	-72.711	89	118								1												 
19006	5410	1584	3	17					PERU		CHINCHA	-13.469	-76.19	89	255								1												 
10412	188	1585	6	11					JAPAN	MIYAGI	TOKURA VILLAGE, MOTOYOSHI COUNTY	38.8	141.5	85							2		1												 
8000	191	1586	1	18					JAPAN	SHIGA	NAGAHAMA	35.383	136.267	85	65								1				3				2				 
7999	191	1586	1	18					JAPAN	MIE	OMINATO (ISE)	34.517	136.75	85	54								1				3				2				 
7997	191	1586	1	18					JAPAN	MIE	NAGASHIMA	35.083	136.7	85	13								1				3				2				 
7998	191	1586	1	18					JAPAN	AICHI	TSUSHIMA	35.167	136.717	85	20								1				3				2				 
10244	194	1586	7	10	0	30		?	JAPAN	MIYAGI	TOKURA SANRIKU (MIYAGI PREFECTURE)			85							2.5		1												 
112	194	1586	7	10	0	30		?	JAPAN	MIYAGI	SHIZUKAWA	38.72	141.45	85	15174						2.5		1												 
113	194	1586	7	10	0	30			PERU		CALLAO	-12.05	-77.15	89	66						24	250	1								1				 
111	194	1586	7	10	0	30		?	JAPAN	MIYAGI	MIYAGI (NE HONSHU)	38.45	141.6	85	15175						2		1												 
29557	194	1586	7	10	0	30			PERU		TRUJILLO	-8.112	-79.0288	89	488								1												 
114	194	1586	7	10	0	30			PERU		LIMA	-12.1	-77.13	89	66						26	10000	1								1				 
16222	3686	1587	7	9					PERU		SECHURA	-5.553	-80.82	89	45								1								2				 
116	197	1589	3	21					JAPAN	AICHI	MIKAWA	34.7	137.13	85	98								1				3				3		3		3 
117	197	1589	3	21					JAPAN	SHIZUOKA	SURUGA-WAN	34.83	138.58	85	35								1				3				3				3 
118	197	1589	3	21					JAPAN	SHIZUOKA	TOTOMI	34.967	138.383	85	25								1				3				3				3 
19010	198	1590							PERU		CAMANA	-16.623	-72.711	89	67								1								3		3		3 
119	199	1591	7	26					AZORES (PORTUGAL)		ILHA DE SAO MIGUEL, AZORES	37.78	-25.5	73	0								1								1				 
10930	3123	1594							ITALY	CAMPANIA	BAY OF NAPLES	40.83	14.25	50	13								1												 
122	203	1596	9	4					JAPAN	OITA	SAGANOSEKI	33.2411	131.8722	85	17								1								1			80	1 
120	203	1596	9	4					JAPAN	OITA	URYU-JIMA ISLAND, BEPPU BAY	33.3	131.5	85	19						5		1			708	3				3				3 
123	204	1597	9	10					JAPAN	OITA	HISAMITSUJIMA ISLAND, BEPPU BAY	33.3	131.5	85	9						2		1			40	1								 
10935	3124	1601							EGYPT		HERACLEON			50									1												 
10413	207	1602	2	8					JAPAN	CHIBA	BOSO PENINSULA	34.9	139.85	85	63								1												 
